index,date,team,home_or_away,opponent,game_result,game_finish,scorer,age,career_goal_number,primary_assist,secondary_assist,goalie,period,time,strength,other,arena
62,2019-11-14,EDM,,COL,W,,Zack Kassian,28,74,Leon Draisaitl,Connor McDavid,Adam Werner,1,12:42,EV,,Rogers Place
63,2019-11-14,EDM,,COL,W,,Connor McDavid,22,140,Oscar Klefbom,James Neal,Adam Werner,1,12:14,PP,,Rogers Place
64,2019-11-14,EDM,,COL,W,,Connor McDavid,22,141,Leon Draisaitl,Oscar Klefbom,Adam Werner,1,15:51,PP,,Rogers Place
65,2019-11-14,EDM,,COL,W,,Connor McDavid,22,142,Oscar Klefbom,Leon Draisaitl,Adam Werner,2,08:32,PP,,Rogers Place
66,2019-11-14,EDM,,COL,W,,Ryan Nugent-Hopkins,26,152,Connor McDavid,Leon Draisaitl,Antoine Bibeau,2,18:15,PP,,Rogers Place
67,2019-11-16,EDM,,DAL,L,OT,Jujhar Khaira,25,17,,,Ben Bishop,1,09:08,EV,,Rogers Place
68,2019-11-16,EDM,,DAL,L,OT,Leon Draisaitl,24,141,Connor McDavid,Darnell Nurse,Ben Bishop,1,19:26,EV,,Rogers Place
69,2019-11-16,EDM,,DAL,L,OT,Jujhar Khaira,25,18,Connor McDavid,Oscar Klefbom,Ben Bishop,2,03:34,EV,,Rogers Place
70,2019-11-16,EDM,,DAL,L,OT,Ethan Bear,22,4,Connor McDavid,Leon Draisaitl,Anton Khudobin,2,18:41,PP,,Rogers Place
71,2019-11-19,EDM,@,SJS,W,,Markus Granlund,26,56,Oscar Klefbom,Gaetan Haas,Martin Jones,1,03:34,EV,,SAP Center at San Jose
72,2019-11-19,EDM,@,SJS,W,,Zack Kassian,28,75,Connor McDavid,Darnell Nurse,Martin Jones,1,07:59,EV,,SAP Center at San Jose
73,2019-11-19,EDM,@,SJS,W,,Jujhar Khaira,25,19,Kris Russell,Riley Sheahan,Martin Jones,1,19:45,EV,,SAP Center at San Jose
74,2019-11-19,EDM,@,SJS,W,,Connor McDavid,22,143,Darnell Nurse,Leon Draisaitl,Martin Jones,3,06:34,EV,,SAP Center at San Jose
75,2019-11-19,EDM,@,SJS,W,,James Neal,32,283,Connor McDavid,Oscar Klefbom,Martin Jones,2,17:19,PP,,SAP Center at San Jose
76,2019-11-21,EDM,@,LAK,L,,Connor McDavid,22,144,,,Jonathan Quick,2,00:38,EV,,STAPLES Center
77,2019-11-23,EDM,@,VEG,W,,Connor McDavid,22,145,Leon Draisaitl,Zack Kassian,Marc-Andre Fleury,1,05:17,EV,,T-Mobile Arena
78,2019-11-23,EDM,@,VEG,W,,Ethan Bear,22,5,Leon Draisaitl,Zack Kassian,Marc-Andre Fleury,1,16:00,EV,,T-Mobile Arena
79,2019-11-23,EDM,@,VEG,W,,Markus Granlund,26,57,Gaetan Haas,Patrick Russell,Marc-Andre Fleury,2,12:04,EV,,T-Mobile Arena
